id,name,abbreviation,foia_officer_title,foia_email,foia_address,foia_phone,foia_fax,response_days,portal_url
437,Adjudicatory Boards,Adj Bds,FOIA Officer,boardsfoia@dol.gov,"Justin E. Murphy - U.S. Department of Labor, Adjudicatory Boards
200 Constitution Avenue, NW - Room S5220
Washington
DC
20210",202-693-6234,,20,
520,Administration - DO NOT USE,Administration - do not use,FOIA Officer,,"do not use
washington
DC
20001",,,20,
222,Administration for Children and Families,ACF,FOIA Officer,FOIARequest@hhs.gov,"Hubert H. Humphrey Building, Room 729H
200 Independence Avenue, SW
Washington
DC
20201",202-690-7453,,20,https://pal.acf.hhs.gov/App/Home.aspx
221,Administration for Community Living,ACL,FOIA Officer,FOIARequest@hhs.gov,"Hubert H. Humphrey Building, Room 729H
200 Independence Avenue, SW
Washington
DC
20201",202-795-7377,,20,https://www.acl.gov/node/447#Eroom
536,Administration on Aging,AOA,FOIA Officer,,,,,20,
2,Administrative Conference of the United States,ACUS,FOIA Officer,,"Shawne McGibbon, Chief FOIA Officer
1120 20th Street, NW, Suite 706 South
Washington
DC
20036",202-480-2080,,20,https://www.foia.gov/agency-search.html?id=9843e5a0-05b2-42a1-a5a1-61e6262b9f8b&type=component
608,Advanced Research Projects Agency for Health,ARPA-H,FOIA Officer,FOIA@arpa-h.gov,"ARPA-H FOIA Office
1301 K Street NW
Washington
DC
20005",,,20,https://arpa-h.gov/freedom-of-information-act
439,Advisory Council on Historic Preservation,ACHP,FOIA Officer,,"Freedom of Information Act Officer Advisory Council on Historic Preservation 
401 F Street, NW, Suite 308 
Washington
DC
20001",(202) 517-0200,,20,
223,Agency for Healthcare Research and Quality,AHRQ,FOIA Officer,FOIArequest@psc.hhs.gov,"Michael S. Marquis, FOIA Officer, Hubert H. Humphrey Building, Suite 729H
200 Independence Avenue, SW
Washington
DC
20201",202-260-6933,,20,http://wcdapps.hhs.gov/FoiaRequest/
225,Agency for Toxic Substances and Disease Registry,ATSDR,FOIA Officer,FOIARequests@cdc.gov,"Roger Andoh, FOIA Officer, Building 16, D-54
1600 Clifton Road, N.E.
Atlanta
GA
30333",770-488-6399,,20,http://www.cdc.gov/od/foia/request/index.htm
